order_id,processing_time,is_successful,catalog_id
1,0.123,True,345
2,0.023,False,359
3,0.023,False,359
4,1.0013983249664307,False,0
5,1.0012414455413818,False,2
6,0.0,True,4
7,1.000631332397461,True,4
8,0.0,True,0
9,1.001462697982788,True,123
10,0.0,True,123
11,0.0,False,123
12,0.0,True,123
13,1.0018072128295898,True,123
14,0.0,True,123
15,0.0,True,123
16,0.0,True,123
17,0.0,True,123
18,1.0011789798736572,False,123
19,0.0,True,123
20,1.0012130737304688,True,123
21,1.000894546508789,True,123
22,1.0006921291351318,True,1241251
23,0.0,True,123
